R-OTE
FrameNum,Time,Value,Ref1,Ref2,Ref3
76,[18:58:55.7080],2312.833333,5077.538462,7121.363636,3543.333333
77,[18:58:56.0190],2140.000000,3898.000000,6081.000000,3953.666667
78,[18:58:56.3080],1670.615385,4400.000000,6716.000000,4152.000000
79,[18:58:56.6080],1554.000000,5213.692308,6789.000000,3477.000000
80,[18:58:56.9080],3510.333333,4931.545455,6772.384615,4218.000000
81,[18:58:57.2080],2758.153846,4653.000000,6766.000000,3783.000000
82,[18:58:57.5080],3006.000000,3658.000000,7411.000000,4859.153846
83,[18:58:57.8080],1881.000000,4521.000000,6304.833333,4503.000000
84,[18:58:58.1080],2763.230769,3993.000000,6791.769231,3020.000000
85,[18:58:58.4080],2486.000000,4527.000000,7539.000000,3977.000000
86,[18:58:58.7080],2453.500000,4320.166667,6815.833333,3629.833333
87,[18:58:59.0080],1787.000000,5566.818182,6376.461538,3680.000000
88,[18:58:59.3080],2213.000000,4400.000000,6494.272727,2751.000000
89,[18:58:59.6070],2613.000000,4898.833333,6973.000000,4576.777778
90,[18:58:59.9080],2008.846154,4021.000000,6214.000000,4732.384615
91,[18:59:00.2060],2853.000000,4511.000000,7691.076923,4042.000000
92,[18:59:00.5060],2244.666667,5291.615385,6009.000000,4347.846154
93,[18:59:00.8080],1607.846154,3686.833333,4346.000000,1596.000000
94,[18:59:01.1080],1942.000000,3330.000000,4886.833333,3771.384615
95,[18:59:01.4080],1658.307692,5123.727273,7355.000000,4503.230769
96,[18:59:01.7080],2161.000000,4293.000000,6160.000000,5016.000000
97,[18:59:02.0080],2542.230769,4233.000000,6538.000000,3998.000000
98,[18:59:02.3080],1920.538462,3911.000000,7088.833333,4530.333333
99,[18:59:02.6080],2161.600000,4016.000000,5015.000000,4598.000000
100,[18:59:02.9080],2350.833333,4978.333333,6918.444444,4098.333333
101,[18:59:03.2080],2802.615385,4395.363636,5925.000000,3520.692308
102,[18:59:03.5080],3486.384615,5270.384615,7114.800000,2921.000000
103,[18:59:03.8080],2456.000000,4562.846154,7249.000000,3649.500000
104,[18:59:04.1080],2606.000000,4865.000000,7082.384615,4159.000000
105,[18:59:04.4080],2222.818182,4556.200000,5398.000000,4340.923077
106,[18:59:04.7080],2812.333333,3758.400000,6750.818182,3182.000000
107,[18:59:05.0080],1932.000000,4634.000000,5702.000000,4410.000000
108,[18:59:05.3060],2613.555556,4947.166667,5870.307692,3864.000000
109,[18:59:05.6080],2232.833333,3927.000000,5681.000000,4377.846154
110,[18:59:05.9080],2647.200000,4597.000000,5754.666667,4376.000000
111,[18:59:06.2080],1862.000000,3454.000000,5894.666667,3786.000000
112,[18:59:06.5080],2814.166667,4902.000000,5774.166667,3314.615385
113,[18:59:06.8080],2576.400000,3867.000000,5835.923077,3937.000000
114,[18:59:07.1080],2716.000000,4575.333333,6175.400000,3570.307692
115,[18:59:07.4080],2466.166667,4846.384615,5989.000000,3435.333333
116,[18:59:07.7080],1909.692308,3962.000000,6324.692308,3223.846154
117,[18:59:08.0080],2401.538462,5072.307692,6159.909091,4336.000000
118,[18:59:08.3080],2390.384615,5464.000000,8787.000000,4292.538462
119,[18:59:08.6090],3110.384615,4742.230769,7320.666667,3917.181818
120,[18:59:08.9090],2473.000000,4696.000000,5676.923077,3606.000000
121,[18:59:09.2080],1711.000000,4486.000000,5730.500000,4335.000000
122,[18:59:09.5080],1488.333333,3532.000000,5402.636364,2447.076923
123,[18:59:09.8080],1451.230769,3925.769231,5215.500000,3071.000000
124,[18:59:10.1060],2482.384615,2991.000000,6015.000000,2644.000000
125,[18:59:10.4060],1682.000000,3590.000000,5944.666667,3188.000000
126,[18:59:10.7080],1701.000000,3699.846154,6313.444444,3835.000000
127,[18:59:11.0190],2550.000000,3420.000000,5762.000000,3219.384615
128,[18:59:11.3090],2358.181818,4412.000000,5435.000000,4348.000000
129,[18:59:11.6080],2151.000000,4762.000000,7740.000000,3737.454545
130,[18:59:11.9080],2156.000000,3777.846154,6926.833333,3541.000000
131,[18:59:12.2080],2520.000000,4190.615385,7551.500000,4569.769231
132,[18:59:12.5080],1939.000000,4071.076923,6536.769231,2901.000000
133,[18:59:12.8080],1295.000000,2891.000000,4872.000000,3666.000000
134,[18:59:13.1080],2680.400000,4885.000000,6071.846154,4372.307692
135,[18:59:13.4080],1870.000000,4067.000000,5962.000000,3790.000000
136,[18:59:13.7080],2033.000000,4325.000000,7272.500000,4292.666667
137,[18:59:14.0080],2272.333333,4884.000000,7017.384615,3677.000000
138,[18:59:14.3080],2893.200000,4308.333333,6823.909091,4382.500000
139,[18:59:14.6080],2981.692308,4687.000000,8835.000000,4726.538462
140,[18:59:14.9080],1110.181818,3169.545455,5267.000000,2010.000000
141,[18:59:15.2060],1385.307692,4560.000000,6036.000000,4320.076923
142,[18:59:15.5060],1796.000000,6022.454545,7611.000000,3470.333333
